ID,CreatedAt,UpdatedAt,Duration
0a5d5199b3f96ad3425c9aae9cff117dc1783ca6145f89df07f1aa603b913da8,2023-06-10T15:00:34.667733Z,2023-06-10T15:00:41.214278Z,6.546545s
520adcd15f2776f818c8a6aeca9cd9c606d5be4a96a11ea8b8b5d79cc6bae1d3,2023-06-10T15:00:41.647102Z,2023-06-10T15:00:57.958662Z,16.31156s
1b88e319752d6b17727d930fb762c68a9a8ce704247accbdd200f5ffde595786,2023-06-10T15:00:41.714749Z,2023-06-10T15:00:55.858495Z,14.143746s
2085db73ea2b04d6dcd42f3ef44c8eb78f02fde186e58d051528e8acc1f8e580,2023-06-10T15:00:36.775771Z,2023-06-10T15:00:43.974735Z,7.198964s
0ded6deb63d8c5b68bf503de21a803d297066e416bb93aaac7043f826944317d,2023-06-10T15:00:40.234065Z,2023-06-10T15:00:47.782436Z,7.548371s
0feaf15dccac93ed1185152023e8c9dcaba0d54d39f6b94527e2cdfa2bc5a9bb,2023-06-10T15:00:35.679635Z,2023-06-10T15:00:42.719799Z,7.040164s
332bde09636b4eb59189e1924be115e30f37335e3e465b7aa2d7f1ffe1482c80,2023-06-10T15:00:37.402888Z,2023-06-10T15:00:45.883987Z,8.481099s
18abb63839236bc298d9c0a95f32fee6ca81eb5524bbd60babc2e32f13678546,2023-06-10T15:00:41.645979Z,2023-06-10T15:00:54.309674Z,12.663695s
5d87562f098c1e9d78e286e63b57c6171f2445bcc5a608a21704c388be53a50d,2023-06-10T15:00:41.264005Z,2023-06-10T15:00:49.008262Z,7.744257s
5b82c681318d47b4d9d0c5f5958300105f2aae001fdcd09e9bca94730888c054,2023-06-10T15:00:41.769043Z,2023-06-10T15:00:57.690215Z,15.921172s
3d31404f327d949c4634c7e5a83e1d26bd366ea0e2d7f81edb3ec4fb6ffabae1,2023-06-10T15:00:40.554193Z,2023-06-10T15:00:48.356052Z,7.801859s
244146cb22412fc1455dd554a78902e2fd697a1a0c16bc5aa518ad1f841efb8d,2023-06-10T15:00:41.420941Z,2023-06-10T15:00:53.078352Z,11.657411s
0e844cbe0f12689e9538dc51fe1e7b333beef1f7969ca2f0c05baa979b2dc50e,2023-06-10T15:00:40.554545Z,2023-06-10T15:00:48.073885Z,7.51934s
412d8697450856456732f0118c9e1607c312c8605d94db5173278473d9e61f57,2023-06-10T15:00:41.365917Z,2023-06-10T15:00:50.176591Z,8.810674s
38f5de1c50f735e156e6c3a3799e4afce235a376c1e405b826e386fb210530c7,2023-06-10T15:00:41.724532Z,2023-06-10T15:00:56.116805Z,14.392273s
433da436d85aa932e38721e7bf95aa5cc87292a8a60b1dd86844e462824b96fa,2023-06-10T15:00:37.877465Z,2023-06-10T15:00:46.663066Z,8.785601s
5ef0d7d6d732508fb79d74c50b90e94bc451a71fbf209816d5e0a45b6f74e62c,2023-06-10T15:00:34.586025Z,2023-06-10T15:00:39.507114Z,4.921089s
681581c2aa1fa2a9d68c01bfde6fe6d79da5dcbb39f0cec1f553d5fc3b9f075a,2023-06-10T15:00:41.817865Z,2023-06-10T15:00:58.898603Z,17.080738s
41fcf47983a17b4f014cf67360a35288b041dfa09c6a7991f995ec41cb4c3129,2023-06-10T15:00:41.622958Z,2023-06-10T15:00:53.70211Z,12.079152s
3484365ecbafd6121fbb00fa91097203233c3c315628a77ef4bfd78f0a04df5f,2023-06-10T15:00:36.796596Z,2023-06-10T15:00:44.31851Z,7.521914s
294943ea60bcfa5cf4941646c3955f617ddf23c6b8718cd6bfdb5c3fa2eae06d,2023-06-10T15:00:41.714752Z,2023-06-10T15:01:01.052043Z,19.337291s
